Date,Close,High,Low,Open,Volume,Adj Close,SMA_10,SMA_50,EMA_10,RSI_14,MACD,BB_High,BB_Low,Daily_Return,Lag_1,Lag_2,Lag_3,Target
2018-08-20,11551.75,11565.2998046875,11499.650390625,11502.099609375,232600,11551.75,11432.51494140625,11030.92498046875,11421.902248955234,70.07991654465636,-0.5531278279517267,11586.310567947718,11088.649295333531,0.007061438877143944,11470.75,11385.0498046875,11435.099609375,1
2018-08-21,11570.900390625,11581.75,11539.599609375,11576.2001953125,224200,11570.900390625,11450.89501953125,11046.603984375,11448.992820167918,70.86004035578055,2.527851242339665,11601.945320097766,11121.629582245983,0.00165779129785526,11551.75,11470.75,11385.0498046875,1
2018-08-23,11582.75,11620.7001953125,11546.7001953125,11620.7001953125,248500,11582.75,11470.225,11061.4019921875,11473.312307410115,71.35768567097094,3.8820598865848126,11618.900160917372,11149.519760957628,0.0010240870610727093,11570.900390625,11551.75,11470.75,0
2018-08-24,11557.099609375,11604.599609375,11532.0,11566.599609375,218800,11557.099609375,11480.9349609375,11075.40998046875,11488.546362312822,68.62561544131702,1.6809620331265478,11621.169800915335,11189.760081897164,-0.0022145337355118366,11582.75,11570.900390625,11551.75,1
2018-08-27,11691.9501953125,11700.9501953125,11595.599609375,11605.849609375,199500,11691.9501953125,11503.0599609375,11093.08798828125,11525.52887740367,74.21497657810019,7.605818243434356,11652.709315288117,11210.685606586881,0.011668203138797129,11557.099609375,11582.75,11570.900390625,1
2018-08-28,11738.5,11760.2001953125,11710.5,11731.9501953125,241900,11738.5,11533.9599609375,11111.503984375,11564.250899693912,75.81657790593414,12.660789511191922,11701.385548862065,11208.024412075436,0.003981355027167455,11691.9501953125,11557.099609375,11582.75,0
2018-08-29,11691.900390625,11753.2001953125,11678.849609375,11744.9501953125,251600,11691.900390625,11567.575,11129.345,11587.45989804502,71.05828976903581,10.932109310866451,11732.289305795764,11214.355713735486,-0.003969809547642367,11738.5,11691.9501953125,11557.099609375,0
2018-08-30,11676.7998046875,11698.7998046875,11639.7001953125,11694.75,313800,11676.7998046875,11591.74501953125,11148.6719921875,11603.70351743456,69.53533049918347,7.027465663988494,11756.898677956453,11221.776322043546,-0.0012915424723947133,11691.900390625,11738.5,11691.9501953125,1
2018-08-31,11680.5,11727.650390625,11640.099609375,11675.849609375,346500,11680.5,11621.2900390625,11166.84099609375,11617.666514264638,69.70666160069776,3.1474630778756705,11777.497481048194,11234.607499420556,0.00031688436681198695,11676.7998046875,11691.900390625,11738.5,0
2018-09-03,11582.349609375,11751.7998046875,11567.400390625,11751.7998046875,234400,11582.349609375,11632.45,11183.66599609375,11611.245258830157,60.058084343069694,-7.020738979772489,11767.976911295787,11277.893010579213,-0.00840292715423141,11680.5,11676.7998046875,11691.900390625,0
2018-09-04,11520.2998046875,11602.5498046875,11496.849609375,11598.75,254800,11520.2998046875,11629.30498046875,11197.635,11594.709721713309,54.88580357715426,-18.277371948227,11764.437222657933,11297.382699217069,-0.00535727264157837,11582.349609375,11680.5,11676.7998046875,0
2018-09-05,11476.9501953125,11542.650390625,11393.849609375,11514.849609375,246100,11476.9501953125,11619.9099609375,11211.925,11573.298898731344,51.54589807197523,-28.391060418675238,11761.013435240742,11309.791545228009,-0.0037628889968090995,11520.2998046875,11582.349609375,11680.5,1
2018-09-06,11536.900390625,11562.25,11436.0498046875,11514.150390625,247900,11536.900390625,11615.325,11227.28,11566.680988166554,55.57230811965143,-30.601135980995892,11758.234780859937,11327.315219140062,0.005223530144531363,11476.9501953125,11520.2998046875,11582.349609375,1
